Country,List,City,VpnServer
AFGHANISTAN,Afghanistan,Kabul,vlus-af1.pointtoserver.com
ALBANIA,Albania,Tirane,al1.pointtoserver.com
ALGERIA,Algeria,Algiers,vlus-dz1.pointtoserver.com
ANGOLA,Angola,Benguela,vlus-ao1.pointtoserver.com
ARGENTINA,Argentina,Buenos Aires,vlus-ar1.pointtoserver.com
ARMENIA,Armenia,Yerevan,vleu-am1.pointtoserver.com
ARMENIA,Armenia,Singapore,sg1.pointtoserver.com.
ARUBA,Aruba,Oranjestad,aw1.pointtoserver.com
AUSTRALIA,Australia,Melbourne,au-me1.pointtoserver.com
AUSTRALIA,Australia,Brisbane,au-bn.pointtoserver.com
AUSTRALIA,Australia,Sydney,au-sd1.pointtoserver.com
AUSTRALIA,Australia,Perth,au-pe1.pointtoserver.com
AUSTRIA,Austria,Vienna,at1.pointtoserver.com
AZERBAIJAN,Azerbaijan,Baku,az1.pointtoserver.com
BAHRAIN,Bahrain,Manama,bh.pointtoserver.com
BANGLADESH,Bangladesh,Dhaka,vlus-bd1.pointtoserver.com
BARBADOS,Barbados,Bridgetown,vleu-bb.pointtoserver.com
BELGIUM,Belgium,Brussels,vleu-be1.pointtoserver.com
BELIZE,Belize,Belmopan,bz1.pointtoserver.com
BERMUDA,Bermuda,Hamilton,vleu-bm.pointtoserver.com
BOLIVIA,Bolivia,Sucre,vleu-bo.pointtoserver.com
BOSNIA AND HERZEGOVINA,Bosnia and Herzegovina,Sarajevo,ba1.pointtoserver.com
BRAZIL,Brazil,Sao Paulo,br1.pointtoserver.com
BRITISH VIRGIN ISLAND,British Virgin Island,Road Town,vg1.pointtoserver.com
BRUNEI DARUSSALAM,Brunei Darussalam,Bandar Seri Begawan,bn1.pointtoserver.com
BULGARIA,Bulgaria,Sofia,bg1.pointtoserver.com
CAMBODIA,Cambodia,Phnom Penh,kh1.pointtoserver.com
CANADA,Canada,Toronto,cato.pointtoserver.com
CANADA,Canada,Vancouver,cav1.pointtoserver.com
CANADA,Canada,Montreal,caq1.pointtoserver.com
CAPE VERDE,Cape Verde,Praia,vleu-cv.pointtoserver.com
CAYMAN ISLANDS,Cayman Islands,George Town,vleu-ky.pointtoserver.com
CHILE,Chile,Santiago,vlbr-cl.pointtoserver.com
CHINA,China,Beijing,cn1.pointtoserver.com
CHINA,China,Shanghai,cn-hn1.pointtoserver.com
COLOMBIA,Colombia,Bogota,co1.pointtoserver.com
COSTA RICA,Costa Rica,San Jose,vlus-cr1.pointtoserver.com
CROATIA,Croatia,Zagreb,vlus-hr1.pointtoserver.com
CYPRUS,Cyprus,Nicosia,cy1.pointtoserver.com
CZECH REPUBLIC,Czech Republic,Prague,cz.pointtoserver.com
DENMARK,Denmark,Copenhagen,vleu-dk1.pointtoserver.com
DOMINICA,Dominica,Roseau,vleu-dm.pointtoserver.com
DOMINICAN REPUBLIC,Dominican Republic,Santo Domingo,vleu-do.pointtoserver.com
ECUADOR,Ecuador,Quito,ec1.pointtoserver.com
EGYPT,Egypt,Cairo,vlus-eg1.pointtoserver.com
EL SALVADOR,El Salvador,San Salvador,vleu-sv.pointtoserver.com
ESTONIA,Estonia,Tallinn,ee1.pointtoserver.com
ETHIOPIA,Ethiopia,Addis Ababa,et1.pointtoserver.com
FINLAND,Finland,Espoo,fi1.pointtoserver.com
FRANCE,France,Paris,fr1.pointtoserver.com
GEORGIA,Georgia,Tbilisi,vlus-ge1.pointtoserver.com
GERMANY,Germany,Frankfurt,de1.pointtoserver.com
