Country,VpnServer
ALGERIA,my_expressvpn_algeria_udp.ovpn
ANDORRA,my_expressvpn_andorra_udp.ovpn
ARGENTINA,my_expressvpn_argentina_udp.ovpn
ARMENIA,my_expressvpn_armenia_udp.ovpn
AUSTRALIA,my_expressvpn_australia_-_brisbane_udp.ovpn
AUSTRALIA,my_expressvpn_australia_-_melbourne_udp.ovpn
AUSTRALIA,my_expressvpn_australia_-_perth_udp.ovpn
AUSTRALIA,my_expressvpn_australia_-_sydney_udp.ovpn
AUSTRALIA,my_expressvpn_australia_-_sydney_-_2_udp.ovpn
AUSTRIA,my_expressvpn_austria_udp.ovpn
AZERBAIJAN,my_expressvpn_azerbaijan_udp.ovpn
BAHAMAS,my_expressvpn_bahamas_udp.ovpn
BANGLADESH,my_expressvpn_bangladesh_udp.ovpn
BELARUS,my_expressvpn_belarus_udp.ovpn
BELGIUM,my_expressvpn_belgium_udp.ovpn
BHUTAN,my_expressvpn_bhutan_udp.ovpn
HERZEGOVINA,my_expressvpn_bosnia_and_herzegovina_udp.ovpn
BOSNIA,my_expressvpn_bosnia_and_herzegovina_udp.ovpn
BRAZIL,my_expressvpn_brazil_-_2_udp.ovpn
BRUNEI,my_expressvpn_brunei_udp.ovpn
BULGARIA,my_expressvpn_bulgaria_udp.ovpn
CAMBODIA,my_expressvpn_cambodia_udp.ovpn
CANADA,my_expressvpn_canada_-_montreal_udp.ovpn
CANADA,my_expressvpn_canada_-_montreal_-_2_udp.ovpn
CANADA,my_expressvpn_canada_-_toronto_udp.ovpn
CANADA,my_expressvpn_canada_-_toronto_-_2_udp.ovpn
CANADA,my_expressvpn_canada_-_vancouver_udp.ovpn
COLOMBIA,my_expressvpn_colombia_udp.ovpn
COSTA RICA,my_expressvpn_costa_rica_udp.ovpn
CROATIA,my_expressvpn_croatia_udp.ovpn
CYPRUS,my_expressvpn_cyprus_udp.ovpn
CZECH,my_expressvpn_czech_republic_udp.ovpn
DENMARK,my_expressvpn_denmark_udp.ovpn
ECUADOR,my_expressvpn_ecuador_udp.ovpn
EGYPT,my_expressvpn_egypt_udp.ovpn
ESTONIA,my_expressvpn_estonia_udp.ovpn
FINLAND,my_expressvpn_finland_udp.ovpn
FRANCE,my_expressvpn_france_-_paris_-_1_udp.ovpn
FRANCE,my_expressvpn_france_-_paris_-_2_udp.ovpn
FRANCE,my_expressvpn_france_-_strasbourg_udp.ovpn
GEORGIA,my_expressvpn_georgia_udp.ovpn
GERMANY,my_expressvpn_germany_-_frankfurt_-_1_udp.ovpn
GERMANY,my_expressvpn_germany_-_frankfurt_-_2_udp.ovpn
GERMANY,my_expressvpn_germany_-_frankfurt_-_3_udp.ovpn
GERMANY,my_expressvpn_germany_-_nuremberg_udp.ovpn
GREECE,my_expressvpn_greece_udp.ovpn
